episode, step, reward
0,0,0.9473948909092504
0,1,0.907009360357674
0,2,0.9336626887299935
0,3,0.9515978204455129
0,4,0.9380730228190411
0,5,0.9926203815759062
0,6,1.0454059044755208
0,7,1.0112967814351153
0,8,1.0610520168576407
0,9,0.9504792740748673
0,10,0.8391671728912863
0,11,0.8213885403597383
0,12,0.7903470825013587
0,13,0.8396395492215206
0,14,0.9176687107312862
0,15,0.9050499568611083
0,16,0.9477440333132632
0,17,1.0454637621226375
0,18,1.087468829914444
0,19,1.101897832094544
0,20,1.0785784255267834
0,21,1.1626124367751869
0,22,1.2383056302183275
0,23,1.297795483680404
0,24,1.3335164292763226
0,25,1.3653159389082565
0,26,1.4202766163145741
0,27,1.5106000956484875
0,28,1.6388234040506766
0,29,1.6038999927216895
0,30,1.581862890622095
0,31,1.7040077202972563
0,32,1.7196506286444886
0,33,1.759416864075013
0,34,1.837314339969087
0,35,1.7651366871877305
0,36,1.7202331455059048
0,37,1.6534962405180165
0,38,1.5547355421489066
0,39,1.618963606808009
0,40,1.6056986060303038
0,41,1.5857078082407257
0,42,1.7676457199177065
0,43,1.86860735445131
0,44,1.779152824959165
0,45,1.6564623206400748
0,46,1.657390322053492
0,47,1.6565691940913716
0,48,1.746940889708042
0,49,1.8452585392489833
0,50,1.7931763490650408
0,51,1.8461857025540793
0,52,1.996004658683088
0,53,2.08931613742706
0,54,2.0764487547119685
0,55,2.103032995401648
0,56,2.2952737485163905
0,57,2.4602613103433435
0,58,2.5536626785481227
0,59,2.5249072224804205
0,60,2.4587106964402152
0,61,2.456509661397211
0,62,2.348432637454091
0,63,2.275395890135631
0,64,2.3187801852374292
0,65,2.322354220998477
0,66,2.3522589354934103
0,67,2.3369981486705096
0,68,2.210694981599455
0,69,2.217133171767953
0,70,2.3061410669805675
0,71,2.363421851461158
0,72,2.3674077796675848
0,73,2.4172125985546558
0,74,2.4340042609200547
0,75,2.4129187891438932
0,76,2.5437370885402144
0,77,2.759792940111013
0,78,2.9910909940790695
0,79,3.1918489396869703
0,80,3.3532862992487678
0,81,3.329573947176246
0,82,3.167686749330134
0,83,3.1302177156138296
0,84,3.0494398199809285
0,85,3.040799860845025
0,86,3.154098460986302
0,87,3.086763884968247
0,88,2.984398976150408
0,89,3.0281687951910343
0,90,3.194051599468399
0,91,3.260910189132327
0,92,3.2688905873555734
0,93,3.249159896300937
0,94,3.150010560870553
0,95,3.1977042052767355
0,96,3.341133874037341
0,97,3.368677640399845
0,98,3.360348517860609
0,99,3.3002376104873545
0,100,3.3986483472491935
0,101,3.4608003130861404
0,102,3.292667933617919
0,103,3.2554068376036316
0,104,3.342957024059441
0,105,3.2695126562683066
0,106,3.191842913345846
0,107,3.138299647077944
0,108,3.053094509849088
1,0,0.9852557078292057
1,1,0.894030940199064
1,2,0.8006944448695016
1,3,0.7651759823526662
1,4,0.8127310247420397
1,5,0.8460672650751522
1,6,0.8811381716030395
1,7,0.9483428128943086
1,8,0.9417564662983127
1,9,1.0677120753042646
1,10,1.3057694840241132
1,11,1.3895673305417806
1,12,1.3746773135368628
1,13,1.4416436597942281
1,14,1.4619229104094023
1,15,1.5062819308771336
1,16,1.594560094031552
1,17,1.593361104359309
1,18,1.4494029475610437
1,19,1.4468705947101885
1,20,1.6140459407657823
1,21,1.5685955404851153
1,22,1.5525235670192068
1,23,1.6076268884396305
1,24,1.584798619033196
1,25,1.523075240790177
1,26,1.4844771221318958
1,27,1.5747113347696693
1,28,1.6389802269531266
1,29,1.6907002128170043
1,30,1.6608704946916835
1,31,1.558523683260154
1,32,1.572832564563188
1,33,1.7040171820853847
1,34,1.8274403387536358
1,35,1.9449081792917569
1,36,1.996994894563023
1,37,1.9075470898631737
1,38,1.9653788240015746
1,39,2.260226457202594
1,40,2.3150266916217985
1,41,2.2548950691386866
